,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
3576,1325117.0,180.0,67.0,793.0,269.0,65.0,836.0,268.0,31.0
3577,1325269.0,180.0,67.0,793.0,267.0,65.0,837.0,268.0,31.0
3564,1323287.0,180.0,67.0,793.0,267.0,65.0,837.0,268.0,31.0
3578,1325422.0,180.0,67.0,794.0,267.0,65.0,836.0,268.0,31.0
3580,1325726.0,180.0,67.0,794.0,267.0,65.0,837.0,269.0,31.0
3581,1325879.0,180.0,67.0,793.0,267.0,65.0,836.0,269.0,31.0
3582,1326031.0,180.0,67.0,793.0,267.0,65.0,836.0,269.0,31.0
3583,1326184.0,180.0,67.0,793.0,267.0,65.0,836.0,269.0,31.0
3584,1326336.0,180.0,67.0,794.0,269.0,65.0,836.0,269.0,31.0
3585,1326489.0,180.0,67.0,793.0,267.0,65.0,837.0,269.0,31.0
3586,1326641.0,180.0,67.0,793.0,267.0,65.0,836.0,268.0,31.0
3587,1326794.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3588,1326946.0,180.0,67.0,793.0,267.0,65.0,837.0,268.0,31.0
3589,1327098.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3590,1327251.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3591,1327403.0,180.0,67.0,793.0,267.0,65.0,837.0,268.0,31.0
3592,1327556.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3579,1325574.0,180.0,67.0,794.0,268.0,65.0,837.0,268.0,31.0
3563,1323135.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3562,1322983.0,180.0,67.0,794.0,267.0,65.0,837.0,267.0,31.0
3561,1322830.0,180.0,67.0,794.0,267.0,65.0,836.0,268.0,31.0
3512,1311361.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3513,1311513.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3514,1311666.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3515,1311818.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3516,1311970.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3517,1312123.0,180.0,67.0,793.0,269.0,65.0,836.0,268.0,31.0
3518,1312275.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3519,1312428.0,180.0,67.0,792.0,269.0,65.0,836.0,267.0,31.0
3520,1312580.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3521,1312733.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,31.0
3542,1319934.0,180.0,67.0,581.0,311.0,65.0,609.0,331.0,31.0
3543,1320086.0,180.0,67.0,691.0,285.0,65.0,680.0,314.0,31.0
3544,1320239.0,180.0,67.0,801.0,270.0,65.0,795.0,282.0,31.0
3545,1320391.0,180.0,67.0,814.0,267.0,65.0,841.0,269.0,31.0
3546,1320544.0,180.0,67.0,807.0,267.0,65.0,838.0,269.0,31.0
3547,1320696.0,180.0,67.0,798.0,267.0,65.0,837.0,270.0,31.0
3548,1320848.0,180.0,67.0,795.0,269.0,65.0,837.0,269.0,31.0
3549,1321001.0,180.0,67.0,794.0,268.0,65.0,837.0,269.0,31.0
3550,1321153.0,180.0,67.0,794.0,269.0,65.0,837.0,269.0,31.0
3551,1321306.0,180.0,67.0,796.0,269.0,65.0,837.0,269.0,31.0
3552,1321458.0,180.0,67.0,793.0,269.0,65.0,837.0,269.0,31.0
3553,1321611.0,180.0,67.0,793.0,269.0,65.0,836.0,269.0,31.0
3554,1321763.0,180.0,67.0,793.0,267.0,65.0,837.0,269.0,31.0
3555,1321915.0,180.0,67.0,794.0,269.0,65.0,837.0,268.0,31.0
3556,1322068.0,180.0,67.0,794.0,268.0,65.0,837.0,268.0,31.0
3557,1322220.0,180.0,67.0,794.0,267.0,65.0,837.0,268.0,31.0
3558,1322373.0,180.0,67.0,794.0,268.0,65.0,838.0,268.0,31.0
3559,1322525.0,180.0,67.0,794.0,267.0,65.0,836.0,268.0,31.0
3560,1322678.0,180.0,67.0,793.0,267.0,65.0,836.0,268.0,31.0
3613,1334757.0,180.0,67.0,609.0,303.0,65.0,632.0,325.0,32.0
3511,1311208.0,180.0,67.0,792.0,269.0,65.0,836.0,269.0,31.0
3614,1334909.0,180.0,67.0,609.0,305.0,65.0,672.0,312.0,32.0
3616,1335214.0,180.0,67.0,754.0,280.0,65.0,834.0,269.0,32.0
3670,1347447.0,180.0,67.0,792.0,269.0,65.0,830.0,271.0,32.0
3671,1347599.0,180.0,67.0,791.0,269.0,65.0,830.0,271.0,32.0
3672,1347752.0,180.0,67.0,791.0,269.0,65.0,830.0,271.0,32.0
3673,1347904.0,180.0,67.0,792.0,267.0,65.0,829.0,271.0,32.0
3674,1348057.0,180.0,67.0,792.0,269.0,65.0,830.0,270.0,32.0
3675,1348209.0,180.0,67.0,791.0,269.0,65.0,830.0,271.0,32.0
3676,1348361.0,180.0,67.0,791.0,269.0,65.0,830.0,269.0,32.0
