t1,t2,command,measured,position
86843054,86843055,61,318,887
86853223,86853223,61,318,885
86862893,86862893,61,317,886
86872561,86872562,61,317,885
86882233,86882233,61,317,885
86891914,86891914,61,317,886
86901587,86901587,61,317,887
86911253,86911254,61,317,887
86920925,86920925,61,317,886
86930590,86930591,61,317,886
86940262,86940262,61,317,886
86949928,86949928,61,317,887
86959600,86959601,61,317,888
86969270,86969270,61,317,886
86979755,86979755,61,316,886
86989424,86989424,61,315,886
86999096,86999097,61,315,887
87008762,87008763,61,316,887
87018436,87018436,61,316,886
87029061,87029061,61,316,885
87038731,87038732,61,316,886
87048396,87048396,61,316,885
87058070,87058071,61,316,886
87067737,87067737,61,316,887
87078051,87078051,61,316,886
87087722,87087723,61,316,886
87097398,87097399,61,316,886
87107068,87107069,61,316,887
87116741,87116741,61,316,887
87126406,87126407,61,316,885
87136081,87136082,61,318,885
87145747,87145747,61,318,887
87156098,87156098,61,317,886
87165766,87165766,61,317,886
87175436,87175437,61,317,887
87185108,87185109,61,317,886
87194777,87194777,61,317,886
87205149,87205149,61,317,886
87214822,87214823,61,318,887
87224487,87224488,61,318,887
87234155,87234156,61,317,885
87243820,87243821,61,317,887
87254615,87254615,61,317,887
87264285,87264286,61,317,886
87273951,87273951,61,317,885
87283619,87283620,61,317,887
87293316,87293317,61,317,887
87303518,87303518,61,317,885
87313189,87313189,61,317,886
87322858,87322859,61,317,885
87332526,87332526,61,317,887
87342196,87342196,61,317,887
87351865,87351866,61,317,886
87361537,87361538,61,317,887
87371209,87371209,61,317,886
87381620,87381621,61,317,886
87391289,87391289,61,316,888
87400959,87400960,61,316,887
87410631,87410632,61,315,886
87420303,87420304,61,315,886
87431083,87431085,62,315,885
87440757,87440757,62,315,889
87450424,87450425,62,315,888
87460097,87460097,62,315,885
87469792,87469792,62,316,886
87479995,87479996,62,316,885
87489659,87489660,62,316,887
87499333,87499333,62,316,887
87509002,87509002,62,316,887
87518675,87518675,62,316,887
87528342,87528343,62,316,884
87538014,87538015,62,316,887
87547680,87547680,62,316,886
87558152,87558152,62,316,886
87567821,87567821,62,316,888
87577493,87577494,62,316,887
87587163,87587163,62,316,886
87596837,87596837,62,318,886
87607601,87607601,62,318,885
87617279,87617280,62,319,886
87626950,87626950,62,319,888
87636624,87636624,62,319,886
87646296,87646297,62,318,886
87656422,87656423,62,318,886
87666093,87666093,62,317,886
87675767,87675767,62,317,886
87685433,87685434,62,318,886
87695105,87695106,62,317,886
87704777,87704777,62,317,885
87714444,87714445,62,317,885
