t1,t2,command,force,position
154708712,154708713,50,-1,986
154716714,154716715,50,-1,984
154724715,154724715,50,-1,985
154732714,154732715,50,-1,986
154740718,154740719,50,-1,985
154748713,154748714,50,-1,985
154756714,154756715,50,-1,985
154764714,154764714,50,-1,986
154772714,154772714,50,-1,985
154780718,154780719,50,-1,984
154788713,154788713,50,-1,985
154796714,154796715,50,-1,984
154804714,154804715,50,-1,986
154812714,154812714,50,-1,986
154820719,154820719,50,-1,985
154828713,154828713,50,-1,981
154836714,154836714,50,-1,984
154844714,154844715,50,-1,984
154852714,154852715,50,-1,986
154860718,154860719,50,-1,985
154868713,154868714,50,-1,985
154876714,154876715,50,-1,985
154884714,154884715,50,-1,984
154892714,154892715,50,-1,984
154900718,154900718,50,-1,989
154908713,154908714,50,-1,985
154916714,154916715,50,-1,984
154924714,154924715,50,-1,985
154932714,154932715,50,-1,985
154940718,154940719,50,-1,985
154948713,154948713,50,-1,985
154956714,154956715,50,-1,984
154964714,154964715,50,-1,983
154972714,154972715,50,-1,985
154980718,154980719,50,-1,984
154988713,154988713,50,-1,986
154996714,154996715,50,-1,984
155004714,155004715,50,-1,985
155012714,155012714,50,-1,985
155020718,155020718,50,-1,986
155028713,155028713,50,-1,984
155036715,155036715,50,-1,984
155044714,155044715,50,-1,985
155052714,155052715,50,-1,982
155060719,155060719,50,-1,984
155068713,155068713,50,-1,984
155076714,155076715,50,-1,984
155084714,155084715,50,-1,986
155092714,155092714,50,-1,984
155100718,155100719,50,-1,986
155108713,155108713,50,-1,983
155116714,155116714,50,-1,984
155124714,155124715,50,-1,984
155132714,155132714,50,-1,985
155140718,155140719,50,-1,984
155148713,155148714,50,-1,985
155156714,155156715,50,-1,984
155164714,155164715,50,-1,984
155172714,155172714,50,-1,986
155180719,155180719,50,-1,984
155188712,155188713,50,-1,985
155196714,155196715,50,-1,985
155204714,155204715,50,-1,984
155212714,155212714,50,-1,985
155220718,155220719,50,-1,983
155228713,155228713,50,-1,986
155236714,155236714,50,-1,985
155244715,155244715,50,-1,984
155252714,155252715,50,-1,985
155260718,155260719,50,-1,985
155268713,155268713,50,-1,985
155276714,155276715,50,-1,986
155284714,155284715,50,-1,984
155292714,155292715,50,-1,985
155300718,155300719,50,-1,984
155308713,155308713,50,-1,984
155316714,155316715,50,-1,985
155324714,155324714,50,-1,984
155332714,155332715,50,-1,984
155340718,155340719,50,-1,986
155348713,155348713,50,-1,985
155356714,155356715,50,-1,984
155364714,155364715,50,-1,984
155372714,155372715,50,-1,986
155380718,155380719,50,-1,984
