time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
41540,0.00,0.00,0.00,0,6
41570,0.00,0.00,0.00,0,5,0
41600,0.00,0.00,0.00,0,6
41630,0.00,0.00,0.00,0,6,0
41659,0.00,0.00,0.00,0,6
41689,0.00,0.00,0.00,0,6,0
41719,0.00,0.00,0.00,0,6
41749,0.00,0.00,0.00,0,6,0
41778,0.00,0.00,0.00,0,6
41808,0.00,0.00,0.00,0,6,0
41838,0.00,0.00,0.00,0,6
41867,0.00,0.00,0.00,0,6
41897,0.00,0.00,0.00,0,6
41927,0.00,0.00,0.00,0,6
41957,0.00,0.00,0.00,0,6
41986,0.00,0.00,0.00,0,6
42016,0.00,0.00,0.00,0,6
42046,0.00,0.00,0.00,0,6
42076,0.00,0.00,0.00,0,6
42105,0.00,0.00,0.00,0,6
42135,0.00,0.00,0.00,0,6
42165,0.00,0.00,0.00,0,6
42194,0.00,0.00,0.00,0,6
42224,0.00,0.00,0.00,0,6
42254,0.00,0.00,0.00,0,6,0
42284,0.00,0.00,0.00,0,6
42313,0.00,0.00,0.00,0,6,0
42343,0.00,0.00,0.00,0,6
42373,0.00,0.00,0.00,0,6,0
42403,0.00,0.00,0.00,0,6
42432,0.00,0.00,0.00,0,6,0
42462,0.00,0.00,0.00,0,6
42492,0.00,0.00,0.00,0,6
42521,0.00,0.00,0.00,0,6
42551,0.00,0.00,0.00,0,6
42581,0.00,0.00,0.00,0,6
42611,0.00,0.00,0.00,0,6
42640,0.00,0.00,0.00,0,6
42670,0.00,0.00,0.00,0,6
42700,0.00,0.00,0.00,0,6
42730,0.00,0.00,0.00,0,6
42759,0.00,0.00,0.00,0,6
42789,0.00,0.00,0.00,0,6
42819,0.00,0.00,0.00,0,6
42848,0.00,0.00,0.00,0,6
42878,0.00,0.00,0.00,0,6,0
42908,0.00,0.00,0.00,0,6
42938,0.00,0.00,0.00,0,6,0
42967,0.00,0.00,0.00,0,6
42997,0.00,0.00,0.00,0,6,0
43027,0.00,0.00,0.00,0,6
43057,0.00,0.00,0.00,0,5,0
43086,0.00,0.00,0.00,0,6
43116,0.00,0.00,0.00,0,6
43146,0.00,0.00,0.00,0,6
43175,0.00,0.00,0.00,0,5
43205,0.00,0.00,0.00,0,6
43235,0.00,0.00,0.00,0,6
43265,0.00,0.00,0.00,0,6
43294,0.00,0.00,0.00,0,6
43324,0.00,0.00,0.00,0,5
43354,0.00,0.00,0.00,0,6
43383,0.00,0.00,0.00,0,6
43413,0.00,0.00,0.00,0,6
43443,0.00,0.00,0.00,0,5
43473,0.00,0.00,0.00,0,6
43502,0.00,0.00,0.00,0,6,0
43532,0.00,0.00,0.00,0,6
43562,0.00,0.00,0.00,0,6,0
43592,0.00,0.00,0.00,0,6
43621,0.00,0.00,0.00,0,6,0
43651,0.00,0.00,0.00,0,6
43681,0.00,0.00,0.00,0,6
43710,0.00,0.00,0.00,0,6
43740,0.00,0.00,0.00,0,6
43770,0.00,0.00,0.00,0,6
43800,0.00,0.00,0.00,0,6
43829,0.00,0.00,0.00,0,6
43859,0.00,0.00,0.00,0,6
43889,0.00,0.00,0.00,0,6
43918,0.00,0.00,0.00,0,6
43948,0.00,0.00,0.00,0,6
43978,0.00,0.00,0.00,0,6
44008,0.00,0.00,0.00,0,6
44037,0.00,0.00,0.00,0,6
44067,0.00,0.00,0.00,0,6,0
44097,0.00,0.00,0.00,0,6
44127,0.00,0.00,0.00,0,5,0
44156,0.00,0.00,0.00,0,6
44186,0.00,0.00,0.00,0,6,0
44216,0.00,0.00,0.00,0,5
44245,0.00,0.00,0.00,0,6,0
44275,0.00,0.00,0.00,0,6
44305,0.00,0.00,0.00,0,6
44335,0.00,0.00,0.00,0,6
44364,0.00,0.00,0.00,0,6
44394,0.00,0.00,0.00,0,6
44424,0.00,0.00,0.00,0,5
44453,0.00,0.00,0.00,0,6
44483,0.00,0.00,0.00,0,6
44513,0.00,0.00,0.00,0,6
44543,0.00,0.00,0.00,0,6
44572,0.00,0.00,0.00,0,6
44602,0.00,0.00,0.00,0,6
44632,0.00,0.00,0.00,0,6
44662,0.00,0.00,0.00,0,6
44691,0.00,0.00,0.00,0,6,0
44721,0.00,0.00,0.00,0,6
44751,0.00,0.00,0.00,0,6,0
44780,0.00,0.00,0.00,0,6
44810,0.00,0.00,0.00,0,6,0
44840,0.00,0.00,0.00,0,6
44870,0.00,0.00,0.00,0,6,0
44899,0.00,0.00,0.00,0,6
44929,0.00,0.00,0.00,0,6
44959,0.00,0.00,0.00,0,6
44988,0.00,0.00,0.00,0,6
45018,0.00,0.00,0.00,0,6
45048,0.00,0.00,0.00,0,6
45078,0.00,0.00,0.00,0,5
