t1,t2,command,measured
32659753,32659753,57,929
32667216,32667216,57,927
32674678,32674679,57,928
32682138,32682139,57,929
32689605,32689606,57,931
32697065,32697065,57,928
32704528,32704528,57,930
32711991,32711991,57,928
32719451,32719452,57,929
32726916,32726917,57,930
32734376,32734376,57,928
32741838,32741839,57,927
32749302,32749302,57,929
32756765,32756766,58,927
32764227,32764228,58,927
32771692,32771692,58,931
32779151,32779152,58,930
32786618,32786618,58,929
32794077,32794078,58,929
32801540,32801541,58,929
32809004,32809005,58,929
32816467,32816467,58,928
32823928,32823928,58,927
32831391,32831391,58,927
32838851,32838851,58,925
32846315,32846316,58,924
32853776,32853777,58,922
32861238,32861238,58,923
32868703,32868704,58,922
32876165,32876165,58,924
32883628,32883629,58,923
32891092,32891092,58,922
32898553,32898553,58,922
32906018,32906018,58,922
32913479,32913480,58,922
32920940,32920940,58,923
32928405,32928406,58,922
32935866,32935867,58,923
32943326,32943327,58,922
32950793,32950793,58,922
32958252,32958253,58,920
32965718,32965719,58,919
32973177,32973178,58,919
32980639,32980640,58,917
32988102,32988103,58,916
32995564,32995565,58,917
33003024,33003024,58,916
33010490,33010490,58,912
33017949,33017950,58,914
33025416,33025417,58,915
33032875,33032876,58,915
33040337,33040338,58,917
33047802,33047802,58,915
33055263,33055264,58,915
33062724,33062725,58,915
33070189,33070190,58,916
33077650,33077651,58,915
33085115,33085116,58,915
33092576,33092577,58,914
33100037,33100038,58,914
33107502,33107502,58,915
33114963,33114963,58,914
33122424,33122425,58,914
33129888,33129889,58,915
33137348,33137348,58,915
33144815,33144815,58,914
33152274,33152275,58,916
33159736,33159737,58,915
33167200,33167200,58,916
33174662,33174662,58,915
33182122,33182122,58,914
33189587,33189587,58,916
33197047,33197048,58,916
33204510,33204511,58,916
33211973,33211973,58,914
33219434,33219435,58,914
33226899,33226899,58,915
33234358,33234359,58,918
33241821,33241821,58,912
33249284,33249285,58,914
33256747,33256747,58,914
33264208,33264208,58,914
33271672,33271673,58,916
33279132,33279132,58,916
33286598,33286599,58,915
