,time,flex sensor,"actuator position, command","actuator position, measured",OldForce,Trial Number,Target Angle,force
1970,1030.5710000000001,66.0,11.466666666666667,11.384615384615385,-17.05,29.0,115.0,5.362109374999999
1971,1031.024,62.0,11.68,11.384615384615385,-16.96,29.0,115.0,5.452109374999999
1972,1031.476,62.0,11.68,11.087533156498672,-16.88,29.0,115.0,5.532109375000001
1973,1031.928,61.0,11.893333333333334,11.809018567639255,-16.26,29.0,115.0,6.152109374999998
1974,1032.382,60.0,11.893333333333334,11.448275862068966,-16.08,29.0,115.0,6.332109375000002
1975,1032.8339999999998,56.0,12.106666666666667,11.809018567639255,-16.17,29.0,115.0,6.242109374999998
1976,1033.286,52.0,12.32,11.639257294429708,-15.91,29.0,115.0,6.502109375
1977,1033.739,52.0,12.32,11.6604774535809,-15.91,30.0,100.0,6.502109375
1978,1034.191,52.0,12.32,12.084880636604776,-15.73,30.0,100.0,6.682109375
1979,1034.644,52.0,12.32,12.042440318302386,-15.64,30.0,100.0,6.772109374999999
1980,1035.097,52.0,12.32,12.297082228116713,-15.56,30.0,100.0,6.8521093749999995
1981,1035.549,52.0,12.32,12.318302387267904,-15.64,30.0,100.0,6.772109374999999
1982,1036.001,52.0,12.32,12.275862068965516,-15.82,30.0,100.0,6.592109375
1983,1036.455,52.0,12.32,12.318302387267904,-15.73,30.0,100.0,6.682109375
1984,1036.907,52.0,12.32,12.403183023872678,-15.73,30.0,100.0,6.682109375
1985,1037.359,52.0,12.32,12.275862068965516,-15.64,30.0,100.0,6.772109374999999
1986,1037.812,52.0,12.32,12.275862068965516,-15.56,30.0,100.0,6.8521093749999995
1987,1038.265,52.0,12.32,12.339522546419095,-15.73,30.0,100.0,6.682109375
1988,1038.7169999999999,52.0,12.32,12.254641909814325,-15.64,30.0,100.0,6.772109374999999
1989,1039.17,52.0,12.32,12.275862068965516,-15.64,30.0,100.0,6.772109374999999
1990,1039.622,53.0,12.32,12.275862068965516,-15.64,30.0,100.0,6.772109374999999
1991,1040.075,62.0,11.68,12.0,-16.08,30.0,100.0,6.332109375000002
1992,1040.528,66.0,11.466666666666667,11.787798408488063,-16.88,30.0,100.0,5.532109375000001
1993,1040.98,73.0,11.04,11.257294429708226,-17.49,30.0,100.0,4.922109375000002
1994,1041.432,77.0,10.826666666666668,11.151193633952255,-17.75,30.0,100.0,4.662109375
1995,1041.885,86.0,10.186666666666667,10.408488063660476,-18.9,30.0,100.0,3.5121093750000014
1996,1042.338,92.0,9.76,9.83554376657825,-19.16,30.0,100.0,3.252109375
1997,1042.79,96.0,9.546666666666667,9.496021220159152,-19.16,30.0,100.0,3.252109375
1998,1043.243,100.0,9.333333333333332,9.389920424403183,-19.42,30.0,100.0,2.9921093749999983
1999,1043.695,101.0,9.12,9.220159151193632,-19.42,31.0,40.0,2.9921093749999983
2000,1044.147,101.0,9.12,9.050397877984086,-19.6,31.0,40.0,2.8121093749999986
2001,1044.6,101.0,9.12,9.071618037135279,-19.51,31.0,40.0,2.9021093749999984
2002,1045.052,101.0,9.12,9.050397877984086,-19.51,31.0,40.0,2.9021093749999984
2003,1045.504,101.0,9.12,9.071618037135279,-19.42,31.0,40.0,2.9921093749999983
2004,1045.9569999999999,101.0,9.12,9.050397877984086,-19.42,31.0,40.0,2.9921093749999983
2005,1046.4089999999999,101.0,9.12,9.071618037135279,-19.42,31.0,40.0,2.9921093749999983
2006,1046.861,101.0,9.12,9.092838196286472,-19.34,31.0,40.0,3.072109375
2007,1047.3139999999999,101.0,9.12,9.092838196286472,-19.34,31.0,40.0,3.072109375
2008,1047.766,101.0,9.12,9.114058355437663,-19.42,31.0,40.0,2.9921093749999983
2009,1048.219,101.0,9.12,9.092838196286472,-19.51,31.0,40.0,2.9021093749999984
2010,1048.671,101.0,9.12,9.135278514588858,-19.34,31.0,40.0,3.072109375
2011,1049.124,101.0,9.12,9.092838196286472,-19.42,31.0,40.0,2.9921093749999983
2012,1049.576,101.0,9.12,9.092838196286472,-19.42,31.0,40.0,2.9921093749999983
2013,1050.029,101.0,9.12,9.092838196286472,-19.42,31.0,40.0,2.9921093749999983
2014,1050.481,101.0,9.12,9.007957559681698,-19.42,31.0,40.0,2.9921093749999983
2015,1050.933,101.0,9.12,9.135278514588858,-19.42,31.0,40.0,2.9921093749999983
2016,1051.386,101.0,9.12,9.135278514588858,-19.16,31.0,40.0,3.252109375
2017,1051.838,101.0,9.12,9.071618037135279,-19.42,31.0,40.0,2.9921093749999983
2018,1052.2910000000002,101.0,9.12,9.007957559681698,-19.25,31.0,40.0,3.162109375
2019,1052.743,101.0,9.12,9.071618037135279,-19.42,31.0,40.0,2.9921093749999983
2020,1053.1960000000001,104.0,8.906666666666666,9.050397877984086,-19.25,31.0,40.0,3.162109375
2021,1053.6480000000001,110.0,8.693333333333333,8.647214854111407,-19.69,31.0,40.0,2.7221093749999987
2022,1054.101,116.0,8.266666666666666,8.583554376657824,-19.78,31.0,40.0,2.632109374999999
2023,1054.553,123.0,7.84,7.819628647214854,-20.21,31.0,40.0,2.202109374999999
2024,1055.005,127.0,7.413333333333334,7.671087533156498,-20.48,31.0,40.0,1.9321093749999996
2025,1055.458,132.0,7.2,7.289124668435012,-20.65,31.0,40.0,1.7621093750000014
2026,1055.91,132.0,7.2,7.225464190981432,-20.74,31.0,40.0,1.6721093750000016
2027,1056.362,136.0,6.986666666666666,6.86472148541114,-21.01,31.0,40.0,1.4021093749999984
2028,1056.815,137.0,6.7733333333333325,6.843501326259947,-21.01,31.0,40.0,1.4021093749999984
2029,1057.267,140.0,6.5600000000000005,6.3978779840848805,-21.8,32.0,145.0,0.6121093749999993
2030,1057.719,140.0,6.5600000000000005,6.4190981432360745,-21.53,32.0,145.0,0.8821093749999989
2031,1058.172,140.0,6.5600000000000005,6.3978779840848805,-21.53,32.0,145.0,0.8821093749999989
2032,1058.624,140.0,6.5600000000000005,6.482758620689656,-21.53,32.0,145.0,0.8821093749999989
2033,1059.076,140.0,6.5600000000000005,6.4403183023872685,-21.45,32.0,145.0,0.9621093750000007
2034,1059.529,140.0,6.5600000000000005,6.525198938992043,-21.62,32.0,145.0,0.792109374999999
2035,1059.981,140.0,6.5600000000000005,6.3978779840848805,-21.62,32.0,145.0,0.792109374999999
2036,1060.433,140.0,6.5600000000000005,6.461538461538463,-21.62,32.0,145.0,0.792109374999999
2037,1060.886,140.0,6.5600000000000005,6.461538461538463,-21.45,32.0,145.0,0.9621093750000007
2038,1061.338,140.0,6.5600000000000005,6.482758620689656,-21.71,32.0,145.0,0.7021093749999991
2039,1061.7910000000002,140.0,6.5600000000000005,6.482758620689656,-21.53,32.0,145.0,0.8821093749999989
2040,1062.243,140.0,6.5600000000000005,6.482758620689656,-21.53,33.0,70.0,0.8821093749999989
2041,1062.6960000000001,140.0,6.5600000000000005,6.376657824933687,-21.53,33.0,70.0,0.8821093749999989
